"","id","team_api_id","team_fifa_api_id","team_long_name","team_short_name"
"1",1,9987,673,"KRC Genk","GEN"
"2",2,9993,675,"Beerschot AC","BAC"
"3",3,10000,15005,"SV Zulte-Waregem","ZUL"
"4",4,9994,2007,"Sporting Lokeren","LOK"
"5",5,9984,1750,"KSV Cercle Brugge","CEB"
"6",6,8635,229,"RSC Anderlecht","AND"
"7",7,9991,674,"KAA Gent","GEN"
"8",8,9998,1747,"RAEC Mons","MON"
"9",9,7947,NA,"FCV Dender EH","DEN"
"10",10,9985,232,"Standard de Liège","STL"
"11",11,8203,110724,"KV Mechelen","MEC"
"12",12,8342,231,"Club Brugge KV","CLB"
"13",13,9999,546,"KSV Roeselare","ROS"
"14",14,8571,100081,"KV Kortrijk","KOR"
"15",15,4049,NA,"Tubize","TUB"
"16",16,9996,111560,"Royal Excel Mouscron","MOU"
"17",17,10001,681,"KVC Westerlo","WES"
"18",18,9986,670,"Sporting Charleroi","CHA"
"19",614,9997,680,"Sint-Truidense VV","STT"
"20",1034,9989,239,"Lierse SK","LIE"
"21",1042,6351,2013,"KAS Eupen","EUP"
"22",1513,1773,100087,"Oud-Heverlee Leuven","O-H"
"23",2004,8475,110913,"Waasland-Beveren","WAA"
"24",2476,8573,682,"KV Oostende","OOS"
"25",2510,274581,111560,"Royal Excel Mouscron","MOP"
"26",3457,10260,11,"Manchester United","MUN"
"27",3458,10261,13,"Newcastle United","NEW"
"28",3459,9825,1,"Arsenal","ARS"
"29",3460,8659,109,"West Bromwich Albion","WBA"
"30",3461,8472,106,"Sunderland","SUN"
"31",3462,8650,9,"Liverpool","LIV"
"32",3463,8654,19,"West Ham United","WHU"
"33",3464,8528,1917,"Wigan Athletic","WIG"
"34",3465,10252,2,"Aston Villa","AVL"
"35",3466,8456,10,"Manchester City","MCI"
"36",3467,8668,7,"Everton","EVE"
"37",3468,8655,3,"Blackburn Rovers","BLB"
"38",3469,8549,12,"Middlesbrough","MID"
"39",3470,8586,18,"Tottenham Hotspur","TOT"
"40",3471,8559,4,"Bolton Wanderers","BOL"
"41",3472,10194,1806,"Stoke City","STK"
"42",3473,8667,1952,"Hull City","HUL"
"43",3474,9879,144,"Fulham","FUL"
"44",3475,8455,5,"Chelsea","CHE"
"45",3476,8462,1790,"Portsmouth","POR"
"46",4218,8658,88,"Birmingham City","BIR"
"47",4225,8602,110,"Wolverhampton Wanderers","WOL"
"48",4234,8191,1796,"Burnley","BUR"
"49",4996,8483,1926,"Blackpool","BLA"
"50",5744,10003,1960,"Swansea City","SWA"
"51",5747,10172,15,"Queens Park Rangers","QPR"
"52",5756,9850,1792,"Norwich City","NOR"
"53",6504,8466,17,"Southampton","SOU"
"54",6509,9798,1793,"Reading","REA"
"55",7261,9826,1799,"Crystal Palace","CRY"
"56",7276,8344,1961,"Cardiff City","CAR"
"57",8021,8197,95,"Leicester City","LEI"
"58",8779,8678,1943,"Bournemouth","BOU"
"59",8784,9817,1795,"Watford","WAT"
"60",9537,8583,57,"AJ Auxerre","AUX"
"61",9538,9830,71,"FC Nantes","NAN"
"62",9539,9827,59,"Girondins de Bordeaux","BOR"
"63",9540,7819,210,"SM Caen","CAE"
"64",9541,9746,1738,"Le Havre AC","LEH"
"65",9542,9831,72,"OGC Nice","NIC"
"66",9543,8682,1739,"Le Mans FC","LEM"
"67",9544,8689,217,"FC Lorient","LOR"
"68",9545,9748,66,"Olympique Lyonnais","LYO"
"69",9546,9941,1809,"Toulouse FC","TOU"
"70",9547,9829,69,"AS Monaco","MON"
"71",9548,9847,73,"Paris Saint-Germain","PSG"
"72",9549,8481,1823,"AS Nancy-Lorraine","NAN"
"73",9550,8639,65,"LOSC Lille","LIL"
"74",9551,9851,74,"Stade Rennais FC","REN"
