"","team_fifa_api_id","team_api_id","team_long_name","team_short_name","date","buildUpPlaySpeed","buildUpPlaySpeedClass","buildUpPlayDribbling","buildUpPlayDribblingClass","buildUpPlayPassing","buildUpPlayPassingClass","buildUpPlayPositioningClass","chanceCreationPassing","chanceCreationPassingClass","chanceCreationCrossing","chanceCreationCrossingClass","chanceCreationShooting","chanceCreationShootingClass","chanceCreationPositioningClass","defencePressure","defencePressureClass","defenceAggression","defenceAggressionClass","defenceTeamWidth","defenceTeamWidthClass","defenceDefenderLineClass"
"3",1,9825,"Arsenal","ARS","2015-09-10 00:00:00",59,"Balanced",51,"Normal",30,"Short","Organised",28,"Safe",44,"Normal",46,"Normal","Free Form",51,"Medium",44,"Press",52,"Normal","Cover"
"5",1,9825,"Arsenal","ARS","2014-09-19 00:00:00",59,"Balanced",51,"Normal",26,"Short","Organised",28,"Safe",55,"Normal",64,"Normal","Free Form",51,"Medium",44,"Press",52,"Normal","Cover"
"8",10,8456,"Manchester City","MCI","2014-09-19 00:00:00",59,"Balanced",35,"Normal",29,"Short","Organised",32,"Safe",49,"Normal",62,"Normal","Organised",42,"Medium",44,"Press",54,"Normal","Cover"
"12",10,8456,"Manchester City","MCI","2015-09-10 00:00:00",59,"Balanced",35,"Normal",29,"Short","Free Form",38,"Normal",36,"Normal",24,"Little","Free Form",48,"Medium",47,"Press",54,"Normal","Cover"
"13",100081,8571,"KV Kortrijk","KOR","2014-09-19 00:00:00",42,"Balanced",40,"Normal",47,"Mixed","Organised",37,"Normal",67,"Lots",30,"Little","Organised",46,"Medium",45,"Press",52,"Normal","Cover"
"16",100081,8571,"KV Kortrijk","KOR","2015-09-10 00:00:00",42,"Balanced",40,"Normal",47,"Mixed","Organised",37,"Normal",67,"Lots",30,"Little","Organised",46,"Medium",45,"Press",52,"Normal","Cover"
"20",100087,1773,"Oud-Heverlee Leuven","O-H","2014-09-19 00:00:00",52,"Balanced",51,"Normal",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover"
"23",10020,7842,"Estoril Praia","EST","2015-09-10 00:00:00",59,"Balanced",56,"Normal",52,"Mixed","Organised",47,"Normal",53,"Normal",39,"Normal","Organised",46,"Medium",49,"Press",55,"Normal","Cover"
"25",10020,7842,"Estoril Praia","EST","2014-09-19 00:00:00",66,"Balanced",56,"Normal",52,"Mixed","Organised",47,"Normal",53,"Normal",39,"Normal","Organised",46,"Medium",49,"Press",55,"Normal","Cover"
"26",10029,8226,"TSG 1899 Hoffenheim","HOF","2015-09-10 00:00:00",69,"Fast",49,"Normal",53,"Mixed","Organised",66,"Normal",62,"Normal",59,"Normal","Organised",63,"Medium",61,"Press",38,"Normal","Cover"
"27",10029,8226,"TSG 1899 Hoffenheim","HOF","2014-09-19 00:00:00",68,"Fast",49,"Normal",63,"Mixed","Organised",68,"Risky",38,"Normal",55,"Normal","Free Form",56,"Medium",57,"Press",54,"Normal","Cover"
"33",10030,8460,"SC Paderborn 07","PAD","2014-09-19 00:00:00",73,"Fast",46,"Normal",55,"Mixed","Organised",52,"Normal",48,"Normal",63,"Normal","Organised",33,"Deep",55,"Press",53,"Normal","Cover"
"37",10030,8460,"SC Paderborn 07","PAD","2015-09-10 00:00:00",67,"Fast",46,"Normal",62,"Mixed","Organised",56,"Normal",48,"Normal",56,"Normal","Organised",25,"Deep",29,"Contain",54,"Normal","Cover"
"42",100409,8406,"FC Augsburg","AUG","2015-09-10 00:00:00",59,"Balanced",51,"Normal",55,"Mixed","Organised",49,"Normal",62,"Normal",55,"Normal","Organised",34,"Medium",50,"Press",59,"Normal","Cover"
"43",100409,8406,"FC Augsburg","AUG","2014-09-19 00:00:00",62,"Balanced",38,"Normal",69,"Long","Organised",41,"Normal",63,"Normal",56,"Normal","Organised",47,"Medium",55,"Press",52,"Normal","Cover"
"44",100626,6631,"FC Dordrecht","DOR","2015-09-10 00:00:00",39,"Balanced",33,"Little",62,"Mixed","Organised",62,"Normal",66,"Normal",48,"Normal","Organised",51,"Medium",58,"Press",55,"Normal","Cover"
"45",100632,6433,"Go Ahead Eagles","GAE","2015-09-10 00:00:00",58,"Balanced",38,"Normal",64,"Mixed","Organised",37,"Normal",42,"Normal",52,"Normal","Organised",43,"Medium",47,"Press",51,"Normal","Cover"
"46",100632,6433,"Go Ahead Eagles","GAE","2014-09-19 00:00:00",55,"Balanced",47,"Normal",42,"Mixed","Organised",37,"Normal",42,"Normal",53,"Normal","Organised",43,"Medium",47,"Press",51,"Normal","Cover"
"47",100634,9791,"Heracles Almelo","HER","2015-09-10 00:00:00",50,"Balanced",36,"Normal",61,"Mixed","Organised",48,"Normal",58,"Normal",59,"Normal","Organised",60,"Medium",62,"Press",47,"Normal","Cover"
"48",100634,9791,"Heracles Almelo","HER","2014-09-19 00:00:00",46,"Balanced",55,"Normal",32,"Short","Organised",48,"Normal",58,"Normal",59,"Normal","Organised",60,"Medium",62,"Press",47,"Normal","Cover"
"60",100741,6547,"FC Penafiel","PEN","2015-09-10 00:00:00",54,"Balanced",54,"Normal",39,"Mixed","Organised",52,"Normal",56,"Normal",38,"Normal","Organised",40,"Medium",35,"Press",46,"Normal","Cover"
"61",100804,8467,"St. Johnstone FC","JOH","2014-09-19 00:00:00",56,"Balanced",48,"Normal",57,"Mixed","Organised",47,"Normal",49,"Normal",40,"Normal","Organised",40,"Medium",40,"Press",52,"Normal","Cover"
"66",100804,8467,"St. Johnstone FC","JOH","2015-09-10 00:00:00",62,"Balanced",52,"Normal",48,"Mixed","Organised",47,"Normal",49,"Normal",40,"Normal","Organised",37,"Medium",48,"Press",55,"Normal","Cover"
"67",100805,9800,"St. Mirren","MIR","2014-09-19 00:00:00",58,"Balanced",50,"Normal",70,"Long","Organised",62,"Normal",56,"Normal",61,"Normal","Organised",50,"Medium",49,"Press",41,"Normal","Cover"
"70",100805,9800,"St. Mirren","MIR","2015-09-10 00:00:00",38,"Balanced",53,"Normal",33,"Short","Organised",53,"Normal",58,"Normal",53,"Normal","Organised",60,"Medium",58,"Press",48,"Normal","Cover"
"77",100879,10278,"Hércules Club de Fútbol","HER","2014-09-19 00:00:00",53,"Balanced",47,"Normal",54,"Mixed","Organised",60,"Normal",58,"Normal",60,"Normal","Organised",50,"Medium",52,"Press",58,"Normal","Cover"
"80",106,8472,"Sunderland","SUN","2015-09-10 00:00:00",43,"Balanced",43,"Normal",51,"Mixed","Organised",59,"Normal",50,"Normal",55,"Normal","Organised",47,"Medium",45,"Press",49,"Normal","Cover"
"81",106,8472,"Sunderland","SUN","2014-09-19 00:00:00",60,"Balanced",33,"Little",61,"Mixed","Organised",56,"Normal",44,"Normal",58,"Normal","Organised",41,"Medium",38,"Press",53,"Normal","Cover"
"86",109,8659,"West Bromwich Albion","WBA","2014-09-19 00:00:00",55,"Balanced",34,"Normal",51,"Mixed","Organised",53,"Normal",53,"Normal",57,"Normal","Organised",41,"Medium",40,"Press",49,"Normal","Cover"
"87",109,8659,"West Bromwich Albion","WBA","2015-09-10 00:00:00",62,"Balanced",32,"Little",51,"Mixed","Organised",53,"Normal",50,"Normal",60,"Normal","Organised",41,"Medium",40,"Press",49,"Normal","Cover"
"90",11,10260,"Manchester United","MUN","2014-09-19 00:00:00",46,"Balanced",34,"Normal",54,"Mixed","Organised",49,"Normal",72,"Lots",56,"Normal","Organised",42,"Medium",41,"Press",56,"Normal","Cover"
"93",11,10260,"Manchester United","MUN","2015-09-10 00:00:00",38,"Balanced",42,"Normal",44,"Mixed","Organised",49,"Normal",44,"Normal",40,"Normal","Organised",54,"Medium",53,"Press",56,"Normal","Cover"
"100",110,8602,"Wolverhampton Wanderers","WOL","2015-09-10 00:00:00",46,"Balanced",36,"Normal",54,"Mixed","Organised",55,"Normal",47,"Normal",48,"Normal","Organised",47,"Medium",48,"Press",55,"Normal","Cover"
"101",110,8602,"Wolverhampton Wanderers","WOL","2014-09-19 00:00:00",47,"Balanced",28,"Little",58,"Mixed","Organised",55,"Normal",64,"Normal",56,"Normal","Organised",47,"Medium",48,"Press",52,"Normal","Cover"
"103",110316,6391,"GFC Ajaccio","GAJ","2015-09-10 00:00:00",48,"Balanced",53,"Normal",52,"Mixed","Organised",55,"Normal",53,"Normal",55,"Normal","Organised",42,"Medium",46,"Press",53,"Normal","Cover"
"108",110329,8152,"FC St. Pauli","STP","2014-09-19 00:00:00",53,"Balanced",52,"Normal",56,"Mixed","Organised",68,"Risky",53,"Normal",34,"Normal","Organised",46,"Medium",44,"Press",54,"Normal","Cover"
"109",110329,8152,"FC St. Pauli","STP","2015-09-10 00:00:00",52,"Balanced",52,"Normal",56,"Mixed","Organised",62,"Normal",53,"Normal",38,"Normal","Organised",39,"Medium",44,"Press",57,"Normal","Cover"
"110",110364,8530,"Catania","CAT","2014-09-19 00:00:00",75,"Fast",52,"Normal",48,"Mixed","Organised",53,"Normal",52,"Normal",36,"Normal","Organised",28,"Deep",67,"Double",52,"Normal","Cover"
"113",110364,8530,"Catania","CAT","2015-09-10 00:00:00",70,"Fast",52,"Normal",48,"Mixed","Organised",53,"Normal",52,"Normal",36,"Normal","Organised",31,"Deep",64,"Press",52,"Normal","Cover"
"117",110374,8535,"Fiorentina","FIO","2015-09-10 00:00:00",34,"Balanced",54,"Normal",33,"Short","Organised",68,"Risky",51,"Normal",53,"Normal","Organised",58,"Medium",59,"Press",61,"Normal","Cover"
"120",110374,8535,"Fiorentina","FIO","2014-09-19 00:00:00",34,"Balanced",54,"Normal",33,"Short","Organised",68,"Risky",51,"Normal",53,"Normal","Organised",58,"Medium",59,"Press",67,"Wide","Cover"
